업체명,법인기업여부,최종업종코드,최종업종명,보증취급일자,취급종류,자금용도,보증상대처,보증금액범위
대****,여,G46322,수산물 가공식품 도매업,2020-06-01,대출보증,운전자금,대구은행,1억이상 3억미만
충****,여,C22299,그 외 기타 플라스틱 제품 제조업,2020-04-07,대출보증,운전자금,신한은행,1억이상 3억미만
코****,여,C31114,선박 구성 부분품 제조업,2020-06-09,대출보증,운전자금,기업은행,1억이상 3억미만
한****,여,G47631,운동 및 경기용품 소매업,2020-04-29,대출보증,운전자금,기업은행,1억이상 3억미만
두****,여,C29171,산업용 냉장 및 냉동 장비 제조업,2020-08-24,대출보증,운전자금,기업은행,3억이상 5억미만
아****,여,G46622,"철물, 금속 파스너 및 수공구 도매업",2020-02-21,대출보증,운전자금,기업은행,1억이상 3억미만
엘****,부,C29294,주형 및 금형 제조업,2020-10-06,대출보증,운전자금,기업은행,1억미만
보****,여,H52992,"화물운송 중개, 대리 및 관련 서비스업",2020-10-08,대출보증,운전자금,기업은행,3억이상 5억미만
가****,여,F42202,건물용 기계ㆍ장비 설치 공사업,2020-11-10,대출보증,운전자금,신한은행,1억이상 3억미만
성****,여,C25111,"금속 문, 창, 셔터 및 관련제품 제조업",2020-09-08,대출보증,운전자금,기업은행,5억이상
성****,여,C25111,"금속 문, 창, 셔터 및 관련제품 제조업",2020-09-10,대출보증,운전자금,기업은행,5억이상
네****,부,G46443,화장품 및 화장용품 도매업,2020-11-18,대출보증,운전자금,기업은행,1억이상 3억미만
S****,부,G46739,기타 화학물질 및 화학제품 도매업,2020-05-13,대출보증,운전자금,기업은행,1억미만
태****,여,G46621,배관 및 냉ㆍ난방장치 도매업,2020-05-11,대출보증,운전자금,기업은행,1억이상 3억미만
유****,여,E38110,"지정 외 폐기물 수집, 운반업",2020-11-30,대출보증,운전자금,기업은행,1억이상 3억미만
조****,여,G46203,사료 도매업,2020-09-08,대출보증,운전자금,기업은행,1억미만
엠****,여,C17902,위생용 종이제품 제조업,2020-05-13,대출보증,운전자금,기업은행,1억이상 3억미만
웰****,여,G46441,의약품 도매업,2020-06-09,대출보증,운전자금,기업은행,3억이상 5억미만
광****,여,G46441,의약품 도매업,2020-11-23,대출보증,운전자금,기업은행,1억이상 3억미만
한****,여,G46733,플라스틱물질 및 합성고무 도매업,2020-05-29,대출보증,운전자금,신한은행,1억미만
동****,여,G46622,"철물, 금속 파스너 및 수공구 도매업",2020-05-29,대출보증,운전자금,기업은행,1억이상 3억미만
청****,부,G47711,운송장비용 주유소 운영업,2020-05-11,대출보증,운전자금,기업은행,1억미만
제****,여,N74100,사업시설 유지ㆍ관리 서비스업,2020-03-06,대출보증,운전자금,기업은행,1억이상 3억미만
지****,여,C30391,자동차용 신품 조향장치 및 현가 장치 제조업,2020-04-01,대출보증,운전자금,기업은행,1억이상 3억미만
나****,여,J62010,컴퓨터 프로그래밍 서비스업,2020-04-20,대출보증,운전자금,대구은행,1억이상 3억미만
대****,여,G46611,원목 및 건축관련 목제품 도매업,2020-07-30,대출보증,운전자금,기업은행,1억이상 3억미만
모****,여,G46441,의약품 도매업,2020-07-08,대출보증,운전자금,기업은행,1억이상 3억미만
씨****,여,F42412,"도배, 실내장식 및 내장 목공사업",2020-02-21,대출보증,운전자금,기업은행,1억이상 3억미만
나****,여,H52999,그 외 기타 분류 안된 운송 관련 서비스업,2020-05-29,대출보증,운전자금,신한은행,3억이상 5억미만
덕****,여,G46791,재생용 재료 수집 및 판매업,2020-07-29,대출보증,운전자금,기업은행,1억이상 3억미만
정****,여,I56130,기관 구내식당업,2020-03-26,대출보증,운전자금,기업은행,1억이상 3억미만
디****,여,C31114,선박 구성 부분품 제조업,2020-09-10,대출보증,운전자금,기업은행,1억이상 3억미만
케****,여,M72911,물질성분 검사 및 분석업,2020-05-26,대출보증,운전자금,신한은행,1억이상 3억미만
진****,여,G46329,기타 가공식품 도매업,2020-07-31,대출보증,운전자금,대구은행,1억미만
세****,여,G46791,재생용 재료 수집 및 판매업,2020-10-28,대출보증,운전자금,기업은행,1억이상 3억미만
미****,부,C10619,기타 곡물 가공품 제조업,2020-10-15,대출보증,운전자금,신한은행,1억미만
공****,여,R90191,공연 기획업,2020-03-30,대출보증,운전자금,기업은행,1억미만
한****,여,G46311,과실류 도매업,2020-11-23,대출보증,운전자금,신한은행,1억이상 3억미만
성****,여,C31999,그 외 기타 달리 분류되지 않은 운송장비 제조업,2020-08-13,대출보증,운전자금,기업은행,3억이상 5억미만
금****,부,G47711,운송장비용 주유소 운영업,2020-11-26,대출보증,운전자금,기업은행,3억이상 5억미만
강****,부,C13300,편조원단 제조업,2020-09-07,대출보증,운전자금,기업은행,1억이상 3억미만
아****,여,C33999,그 외 기타 달리 분류되지 않은 제품 제조업,2020-09-04,대출보증,운전자금,신한은행,1억이상 3억미만
두****,여,C22249,기타 기계ㆍ장비 조립용 플라스틱 제품 제조업,2020-08-18,대출보증,운전자금,기업은행,3억이상 5억미만
